"","iso3166_country","GID_0_gadm","NAME_0_gadm","GID_1_gadm","GID_1_edits","NAME_1_gadm","VARNAME_1_gadm","NL_NAME_1_gadm","TYPE_1_gadm","ENGTYPE_1_gadm","CC_1_gadm","HASC_1_gadm","region_polygoncluster","polygoncluster_name","project_ifnodata","project_ifconstructed","regionname_ISOenglish","regionname_alt","regionname_nativescript","regioncode","system","regioncode_changed","regioncode_old","Notes","mergekey","regioncode_disagg"
"53","AG","ATG","Antigua and Barbuda","ATG.5_1","ATG.5_1","Saint Mary","Bolands","Saint Mary","Parish","Parish",NA,"AG.MA","nat","Antigua and Barbuda",NA,NA,"Saint Mary","","Saint Mary","AG.nat","iso3166-2","","","","AG.nat","AG-05"
"54","AG","ATG","Antigua and Barbuda","ATG.6_1","ATG.6_1","Saint Paul","Nelson's Dockyard","Saint Paul","Parish","Parish",NA,"AG.PA","nat","Antigua and Barbuda",NA,NA,"Saint Paul","","Saint Paul","AG.nat","iso3166-2","","","","AG.nat","AG-06"
"55","AG","ATG","Antigua and Barbuda","ATG.7_1","ATG.7_1","Saint Peter","Parham","Saint Peter","Parish","Parish",NA,"AG.PE","nat","Antigua and Barbuda",NA,NA,"Saint Peter","","Saint Peter","AG.nat","iso3166-2","","","","AG.nat","AG-07"
"56","AG","ATG","Antigua and Barbuda","ATG.8_1","ATG.8_1","Saint Philip","Carlisle","Saint Philip","Parish","Parish",NA,"AG.PH","nat","Antigua and Barbuda",NA,NA,"Saint Philip","","Saint Philip","AG.nat","iso3166-2","","","","AG.nat","AG-08"
"57","AL","ALB","Albania","","AL02","","","","","","","","","",NA,NA,"Central Albania","","Shqipëria qendrore","AL02","nuts2","","","","AL02","AL02"
"58","AL","ALB","Albania","","AL01","","","","","","","","","",NA,NA,"Northern Albania","","Shqipëria veriore","AL01","nuts2","","","","AL01","AL01"
"59","AL","ALB","Albania","","AL03","","","","","","","","","",NA,NA,"Southern Albania","","Shqipëria jugore","AL03","nuts2","","","","AL03","AL03"
"60","AM","ARM","Armenia","ARM.1_1","ARM.1_1","Aragatsotn","Aragacot'n","Aragatsotn","Marz","Province",NA,"AM.AG","","",NA,NA,"Aragac̣otn","Aragatsotn","Արագածոտն","AM-AG","iso3166-2","","","","AM-AG","AM-AG"
"61","AM","ARM","Armenia","ARM.2_1","ARM.2_1","Ararat",NA,"Ararat","Marz","Province",NA,"AM.AR","","",NA,NA,"Ararat","Ararat","Արարատ","AM-AR","iso3166-2","","","","AM-AR","AM-AR"
"62","AM","ARM","Armenia","ARM.3_1","ARM.3_1","Armavir",NA,"Armavir","Marz","Province",NA,"AM.AV","","",NA,NA,"Armavir","Armavir","Արմավիր","AM-AV","iso3166-2","","","","AM-AV","AM-AV"
"63","AM","ARM","Armenia","ARM.4_1","ARM.4_1","Erevan","Yerevan","Erevan","Kaghak","City",NA,"AM.ER","","",NA,NA,"Erevan","Yerevan","Երևան","AM-ER","iso3166-2","","","","AM-ER","AM-ER"
"64","AM","ARM","Armenia","ARM.5_1","ARM.5_1","Gegharkunik","Gelark'unik'","Gegharkunik","Marz","Province",NA,"AM.GR","","",NA,NA,"Geġark'unik'","Gegharkunik","Գեղարքունիք","AM-GR","iso3166-2","","","","AM-GR","AM-GR"
"65","AM","ARM","Armenia","ARM.6_1","ARM.6_1","Kotayk","Kotaik|Kotayk'","Kotayk","Marz","Province",NA,"AM.KT","","",NA,NA,"Kotayk'","Kotayk","Կոտայք","AM-KT","iso3166-2","","","","AM-KT","AM-KT"
"66","AM","ARM","Armenia","ARM.7_1","ARM.7_1","Lori","Lo·πôi","Lori","Marz","Province",NA,"AM.LO","","",NA,NA,"Loṙi","Lori","Լոռի","AM-LO","iso3166-2","","","","AM-LO","AM-LO"
"67","AM","ARM","Armenia","ARM.8_1","ARM.8_1","Shirak","≈†irak","Shirak","Marz","Province",NA,"AM.SH","","",NA,NA,"Širak","Shirak","Շիրակ","AM-SH","iso3166-2","","","","AM-SH","AM-SH"
"68","AM","ARM","Armenia","ARM.9_1","ARM.9_1","Syunik","Syunik'","Syunik","Marz","Province",NA,"AM.SU","","",NA,NA,"Syunik'","Syunik","Սյունիք","AM-SU","iso3166-2","","","","AM-SU","AM-SU"
